"name","beschaeftigte_jahr","beschaeftigte","umsatz","adressecheck","beschreibung","adressegesamt","adresse","plz","land","ansprechperson","tel","email","website","seite","adressegesamtat","long","lat","geocodedadress","sparten","typ"
"3D Elements GmbH","2015","8",NA,"Sparkassenplatz 5
6020 Innsbruck, Tirol","3D-Fotostudios, 3D-Datenverarbeitung","Sparkassenplatz 5, 6020 Innsbruck","Sparkassenplatz 5","6020 Innsbruck","Austria | Österreich","Dominik Leitner","T +43 / 664 / 121 98 88","E service@3delements.com","W www.3delements.com",15,"Sparkassenplatz 5, 6020 Innsbruck , Österreich",11.3943177,47.2661034,"sparkassenpl. 5, 6020 innsbruck, austria","a","COMMUNICATION EQUIPMENT"
"Advenica GmbH","n.v.","n.v.",NA,"Tuchlauben 7a
1010 Wien","Cybersicherheitslösungen für Top-Secret-Daten","Tuchlauben 7a / 5, 1010 Wien","Tuchlauben 7a / 5","1010 Wien","Austria | Österreich","Markus Gursch","T +43 / 1 / 253 00 25 270","E markus.gursch@advenica.com","W www.advenica.com",16,"Tuchlauben 7a / 5, 1010 Wien , Österreich",16.3694639,48.2103809,"tuchlauben 7a, 1010 wien, austria","a","ICT & CYBER"
"Air Ambulance Technology GesmbH","#N/A","n.v.","#N/A","#N/A","schnell wechselbare Rettungsausrüstungen für Helikopter und Flugzeuge, sämtliche relevante Luftfahrzertifizierungen, EASA Supplemental Type Zertifikate","Lamprechtshausener Straße 65, 5282 Ranshofen","Lamprechtshausener Straße 655282 Ranshofen","Austria | Österreich",NA,"Nicole Kuntner-Hudson","T +43 / 7722 / 850 51","E n.kuntner@airambulancetechnology.com","W www.airambulancetechnology.com",17,"Lamprechtshausener Straße 65, 5282 Ranshofen , Österreich",13.0262045,48.2253682,"lamprechtshausener str. 65, 5282 braunau am inn, austria","a","LOGISTICS & MEDICAL & HUMANITARIAN EQUIPMENT"
"Airborne Technologies GmbH","2017","37",NA,"Gloriettegasse 1/3
1130 Wien",NA,"Gloriettegasse 1/3
1130 Wien","Viktor Lang-Straße 82700 Wiener Neustadt","Austria | Österreich",NA,NA,"T +43 / 2622 / 347 18 200","E office@airbornetechnologies.at","W www.airbornetechnologies.at",18,"Gloriettegasse 1/3
1130 Wien , Österreich",16.2989071,48.1805405,"gloriettegasse 1, 1130 wien, austria","a","COMMUNICATION EQUIPMENT"
"AIT Austrian Institute of Technology","2016 (Gruppe)","969","2016 (Gruppe): 45,87 Mio. EUR","Giefinggasse 4
1210 Wien",NA,"Giefinggasse 4, 1210 Wien","Giefinggasse 4","1210 Wien","Austria | Österreich","Michael Mürling","T +43 / 50550 / 4126","E michael.muerling@ait.ac.at","W www.ait.ac.at",19,"Giefinggasse 4, 1210 Wien , Österreich",16.4266624,48.2693843,"giefinggasse 4, 1210 wien, austria","a","COMMUNICATION EQUIPMENT"
"AMST-Systemtechnik GmbH","2016","95",NA,"Lamprechtshausener Straße
5282 Braunau am Inn -Ranshofen, Oberösterreich",NA,"Lamprechtshausenerstr. 63, 5282 Ranshofen","Lamprechtshausenerstr. 63","5282 Ranshofen","Austria | Österreich","Wolfgang Lindlbauer","T +43 / 7722 / 892 - 0","E lw@amst.co.at","W www.amst.co.at",20,"Lamprechtshausenerstr. 63, 5282 Ranshofen , Österreich",13.0268938,48.2255125,"lamprechtshausener str. 63, 5282 ranshofen, austria","a","ENGINEERING EQUIPMENT"
"AT&S Austria Technologie & Systemtechnik AG","#N/A","n.v.","#N/A","#N/A",NA,"Fabriksgasse 13, 8700 Leoben","Fabriksgasse 13","8700 Leoben","Austria | Österreich","Wolfgang Brandl","T +43 / 676 / 895 578 85","E w.brandl@ats.net","W www.ats.net",21,"Fabriksgasse 13, 8700 Leoben , Österreich",15.0665272,47.3583232,"fabriksgasse 13, 8700 hinterberg, austria","a","ENGINEERING SERVICES & TRAINING"
"Atlas Aerospace Elektronische Geräte Vertriebs GmbH","#N/A","n.v.","#N/A","#N/A",NA,"Muthgasse 109, 1190 Wien ","Muthgasse 109","1190 Wien ","Austria | Österreich","Philipp Muchitsch","T +43 / 1 / 320 23 88","E atlas@atlasaero.at","W www.atlasaerospace.at",22,"Muthgasse 109, 1190 Wien  , Österreich",16.3695819,48.2529738,"muthgasse 109, 1190 wien, austria","a","Waffen & Munition"
"Atos Österreich","#N/A","n.v.","#N/A","#N/A",NA,"Siemensstraße 92, 1210 Wien","Siemensstraße 92","1210 Wien","Austria | Österreich",NA,"T +43 / 1 / 506 18 0","E austria.at@atos.net","W www.atos.net/austria",23,"Siemensstraße 92, 1210 Wien , Österreich",16.4257686,48.266734,"siemensstraße 92, 1210 wien, austria","a","ICT & CYBER"
"ATS Gebäude- und Sicherheitstechnik GmbH","2016","6",NA,"Heiligenkreuzer Straße 48
2392 Sulz im Wienerwald, Niederösterreich",NA,"Heiligenkreuzer Straße 48
2392 Sulz im Wienerwald, Niederösterreich","Gruberau 482392 Wienerwald","Austria | Österreich","Ursula Brichacek",NA,"T +43 / 2238 / 700 05 - 0","E FJB@ats.co.at","W www.ats.co.at",24,"Heiligenkreuzer Straße 48
2392 Sulz im Wienerwald, Niederösterreich , Österreich",16.097114,48.1207232,"heiligenkreuzer str. 48, 2392 gruberau, austria","a","OTHERS"
